year,individual income taxes,corporate income taxes,excise taxes,other taxes,ss and retirement receipts (total),ss and retirement receipts (on budget),ss and retirement receipts (off budget),total receipts,on budget receipts,off budget receipts
1979,217841,65677,18745,22101,138939,40945,97994,463302,365309,97994
1980,244069,64600,24329,26311,157803,44594,113209,517112,403903,113209
1981,285917,61137,40839,28659,182720,52545,130176,599272,469097,130176
1982,297744,49207,36311,33006,201498,58031,143467,617766,474299,143467
1983,288938,37022,35300,30309,208994,61674,147320,600562,453242,147320
1984,298415,56893,37361,34392,239376,73301,166075,666438,500363,166075
1985,334531,61331,35992,37020,265163,78992,186170,734037,547866,186170
1986,348959,63143,32919,40233,283901,83673,200228,769155,568927,200228
1987,392557,83926,32457,42029,303318,89916,213401,854287,640886,213401
1988,401181,94508,35227,43987,334335,92845,241491,909238,667747,241491
1989,445690,103291,34386,48321,359416,95751,263665,991104,727439,263665
1990,466884,93507,35345,56174,380047,98392,281655,1031958,750302,281655
1991,467827,98086,42402,50657,396015,102131,293884,1054988,761103,293884
1992,475964,100270,45569,55717,413688,111263,302426,1091208,788783,302426
1993,509680,117520,48057,50778,428299,116366,311934,1154334,842401,311934
1994,543055,140385,55225,58427,461475,126450,335026,1258566,923541,335026
1995,590244,157004,57484,62585,484473,133394,351079,1351790,1000711,351079
1996,656417,171824,54014,61384,509414,141922,367492,1453053,1085561,367492
1997,737466,182293,56924,63178,539371,147381,391990,1579232,1187242,391990
1998,828586,188677,57673,74961,571831,156032,415799,1721728,1305929,415799
1999,879480,184680,70414,81045,611833,167365,444468,1827452,1382984,444468
2000,1004462,207289,68865,91723,652852,172268,480584,2025191,1544607,480584
2001,994339,151075,66232,85469,693967,186448,507519,1991082,1483563,507519
2002,858345,148044,66989,78998,700760,185439,515321,1853136,1337815,515321
2003,793699,131778,67524,76335,712978,189136,523842,1782314,1258472,523842
2004,808959,189371,69855,78522,733407,198662,534745,1880114,1345369,534745
2005,927222,278282,73094,80888,794125,216649,577476,2153611,1576135,577476
2006,1043908,353915,73961,97264,837821,229439,608382,2406869,1798487,608382
2007,1163472,370243,65069,99594,869607,234518,635089,2567985,1932896,635089
2008,1145747,304346,67334,106409,900155,242109,658046,2523991,1865945,658046
2009,915308,138229,62483,98052,890917,236908,654009,2104989,1450980,654009
2010,898549,191437,66909,140997,864814,233127,631687,2162706,1531019,631687
2011,1091473,181085,72381,139735,818792,253004,565788,2303466,1737678,565788
2012,1132206,242289,79061,151120,845314,275813,569501,2449990,1880489,569501
2013,1316405,273506,84007,153368,947820,274546,673274,2775106,2101832,673274
2014,1394568,320731,93368,189366,1023458,287893,735565,3021491,2285926,735565
2015,1540802,343797,98279,201755,1065257,294885,770372,3249890,2479518,770372
2016,1546075,299571,95026,212228,1115065,304885,810180,3267965,2457785,810180
2017,1587120,297048,83823,186296,1161897,311279,850618,3316184,2465566,850618
2018,1683538,204733,94986,175949,1170701,315954,854747,3329907,2475160,854747
2019,1717857,230245,98914,173235,1243113,328810,914303,3463364,2549061,914303
2020,1608663,211845,86780,203921,1309955,344527,965428,3421164,2455736,965428
2021,2044377,371831,75274,241542,1314088,361765,952323,4047112,3094789,952323
2022,2632146,424865,87728,269133,1483527,417552,1065975,4897399,3831424,1065975
