year,Individual Income Taxes,Corporate Income Taxes,Social Insurance Tax,Excise Tax,Other Taxes
1934,14.2,12.3,1,45.8,26.7
1935,14.6,14.7,0.9,39.9,30
1936,17.2,18.3,1.3,41.6,21.6
1937,20.3,19.3,10.8,34.8,14.9
1938,19.1,19.1,22.8,27.6,11.5
1939,16.3,17.9,25.3,29.7,10.7
1940,13.6,18.3,27.3,30.2,10.7
1941,15.1,24.4,22.3,29.3,9
1942,22.3,32.2,16.8,23.2,5.5
1943,27.1,39.8,12.7,17.1,3.3
1944,45,33.9,7.9,10.9,2.2
1945,40.7,35.4,7.6,13.9,2.4
1946,41,30.2,7.9,17.8,3.1
1947,46.6,22.4,8.9,18.7,3.5
1948,46.5,23.3,9,17.7,3.5
1949,39.5,28.4,9.6,19,3.5
1950,39.9,26.5,11,19.1,3.4
1951,41.9,27.3,11,16.8,3.1
1952,42.2,32.1,9.7,13.4,2.6
1953,42.8,30.5,9.8,14.2,2.7
1954,42.4,30.3,10.3,14.3,2.7
1955,43.9,27.3,12,14,2.8
1956,43.2,28,12.5,13.3,3
1957,44.5,26.5,12.5,13.2,3.3
1958,43.6,25.2,14.1,13.4,3.7
1959,46.3,21.8,14.8,13.3,3.7
1960,44,23.2,15.9,12.6,4.2
1961,43.8,22.2,17.4,12.6,4
1962,45.7,20.6,17.1,12.6,4
1963,44.7,20.3,18.6,12.4,4.1
1964,43.2,20.9,19.5,12.2,4.2
1965,41.8,21.8,19,12.5,4.9
1966,42.4,23,19.5,10,5.1
1967,41.3,22.8,21.9,9.2,4.7
1968,44.9,18.7,22.2,9.2,5
1969,46.7,19.6,20.9,8.1,4.7
1970,46.9,17,23,8.1,4.9
1971,46.1,14.3,25.3,8.9,5.4
1972,45.7,15.5,25.4,7.5,6
1973,44.7,15.7,27.3,7,5.2
1974,45.2,14.7,28.5,6.4,5.2
1975,43.9,14.6,30.3,5.9,5.4
1976,44.2,13.9,30.5,5.7,5.8
1977,44.3,15.4,29.9,4.9,5.3
1978,45.3,15,30.3,4.6,4.8
1979,47,14.2,30,4,4.8
1980,47.2,12.5,30.5,4.7,5.1
1981,47.7,10.2,30.5,6.8,4.8
1982,48.2,8,32.6,5.9,5.3
1983,48.1,6.2,34.8,5.9,5
1984,44.8,8.5,35.9,5.6,5.2
1985,45.6,8.4,36.1,4.9,5
1986,45.4,8.2,36.9,4.3,5.2
1987,46,9.8,35.5,3.8,4.9
1988,44.1,10.4,36.8,3.9,4.8
1989,45,10.4,36.3,3.5,4.9
1990,45.2,9.1,36.8,3.4,5.4
1991,44.3,9.3,37.5,4,4.8
1992,43.6,9.2,37.9,4.2,5.1
1993,44.2,10.2,37.1,4.2,4.4
1994,43.1,11.2,36.7,4.4,4.6
1995,43.7,11.6,35.8,4.3,4.6
1996,45.2,11.8,35.1,3.7,4.2
1997,46.7,11.5,34.2,3.6,4
1998,48.1,11,33.2,3.3,4.4
1999,48.1,10.1,33.5,3.9,4.4
2000,49.6,10.2,32.2,3.4,4.5
2001,49.9,7.6,34.9,3.3,4.3
2002,46.3,8,37.8,3.6,4.3
2003,44.5,7.4,40,3.8,4.3
2004,43,10.1,39,3.7,4.2
2005,43.1,12.9,36.9,3.4,3.8
2006,43.4,14.7,34.8,3.1,4
2007,45.3,14.4,33.9,2.5,3.9
2008,45.4,12.1,35.7,2.7,4.2
2009,43.5,6.6,42.3,3,4.7
2010,41.5,8.9,40,3.1,6.5
2011,47.4,7.9,35.5,3.1,6.1
2012,46.2,9.9,34.5,3.2,6.2
2013,47.4,9.9,34.2,3,5.5
2014,46.2,10.6,33.9,3.1,6.3
2015,47.4,10.6,32.8,3,6.2
2016,47.3,9.2,34.1,2.9,6.5
2017,47.9,9,35,2.5,5.6
2018,50.6,6.1,35.2,2.9,5.3
